sample_accession,isolate
SAMEA2205525,11657_5#84
SAMEA2205522,11657_5#83
SAMEA2205537,11679_7#72
SAMEA2205535,11679_8#76
SAMEA2205541,11657_7#87
SAMEA2205543,11679_7#74
SAMEA2205544,11657_5#85
SAMEA2205546,11657_6#81
SAMEA2205547,11679_7#75
SAMEA2205552,11658_3#78
SAMEA2205553,11657_5#86
SAMEA2205554,11657_6#83
SAMEA2205560,11657_5#88
SAMEA2205563,11657_5#90
SAMEA2205562,11657_5#89
SAMEA2205557,11657_5#87
SAMEA2205559,11679_5#76
SAMEA2205564,11679_4#79
SAMEA2205566,11657_7#88
SAMEA2205570,11657_5#91
SAMEA2205576,11679_5#77
SAMEA2205577,11658_3#82
SAMEA2205586,11658_3#83
SAMEA2205584,11791_3#66
SAMEA2205583,11658_7#88
SAMEA2205595,11791_6#37
SAMEA2205603,11679_4#82
SAMEA2205608,11679_5#78
SAMEA2205610,11679_4#83
SAMEA2205611,11658_7#95
SAMEA2205624,11679_4#85
SAMEA2205625,11791_3#68
SAMEA2205629,11791_3#70
SAMEA2205630,11791_3#71
SAMEA2205632,11679_5#81
SAMEA2205638,11679_5#82
SAMEA2205643,11657_6#90
SAMEA2205645,11791_3#76
SAMEA2205646,11679_6#85
SAMEA2205653,11791_3#78
SAMEA2205650,11679_6#86
SAMEA2205654,11679_8#84
SAMEA2205647,11679_4#86
SAMEA2205649,11679_8#83
SAMEA2205663,11791_3#80
SAMEA2205666,11679_7#83
SAMEA2205673,11791_3#84
SAMEA2205683,11679_7#86
SAMEA2205682,11679_5#85
SAMEA2205677,11679_6#89
SAMEA2205679,11679_7#85
SAMEA2205690,11679_7#88
SAMEA2205685,11679_4#89
SAMEA2205697,11658_3#89
SAMEA2205694,11679_8#89
SAMEA2205700,11679_4#93
SAMEA2205698,11679_5#88
SAMEA2205708,11679_7#89
SAMEA2205706,11791_3#89
SAMEA2205705,11791_3#88
SAMEA2205716,11679_5#90
SAMEA2205717,11658_3#92
SAMEA2205719,11679_6#93
SAMEA2205711,11791_3#91
SAMEA2205713,11657_7#91
SAMEA2205715,11679_5#89
SAMEA2205724,11679_7#91
SAMEA2205723,11679_5#92
SAMEA2205726,11657_6#95
SAMEA2205731,11657_5#96
SAMEA2205732,11679_7#92
SAMEA2205734,11679_4#95
SAMEA2205733,11791_3#94
SAMEA2205743,11658_3#93
SAMEA2205738,11679_8#93
SAMEA2205741,11679_8#94
SAMEA2205747,11658_3#95
SAMEA2205749,11679_7#95
SAMEA2205753,11791_3#96
SAMEA2205752,11679_5#96
SAMEA2205748,11791_3#95
SAMEA2205757,11679_6#96
SAMEA2204232,11658_5#1
SAMEA2204236,11658_4#3
SAMEA2204237,11658_5#4
SAMEA2204246,11791_6#1
SAMEA2204247,11658_6#5
SAMEA2204252,11658_5#7
SAMEA2204261,11657_6#1
SAMEA2204264,11658_5#11
SAMEA2204268,11658_6#6
SAMEA2204278,11658_3#1
SAMEA2204305,11658_8#31
SAMEA2204301,11658_5#16
SAMEA2204311,11658_5#17
SAMEA2204312,11658_5#18
SAMEA2204309,11658_6#17
SAMEA2204322,11658_8#32
SAMEA2204318,11791_6#3
SAMEA2204335,11658_5#25
SAMEA2204341,11791_6#4
SAMEA2204336,11658_4#10
SAMEA2204362,11657_5#6
SAMEA2204357,11791_7#17
SAMEA2271751,12045_3#59
SAMEA2204367,11658_5#33
SAMEA2271755,12045_3#63
SAMEA2204369,11658_4#16
SAMEA2271750,12045_3#58
SAMEA2204366,11658_7#18
SAMEA2271754,12045_3#62
SAMEA2204373,11658_5#34
SAMEA2204374,11658_5#35
SAMEA2204376,11658_6#26
SAMEA2204387,11658_6#29
SAMEA2204397,11658_7#21
SAMEA2204401,11791_7#21
SAMEA2204407,11791_7#22
SAMEA2204429,11657_6#9
SAMEA2204426,11791_6#9
SAMEA2204431,11657_6#10
SAMEA2204428,11679_4#3
SAMEA2204442,11657_7#4
SAMEA2204435,11657_7#2
SAMEA2204441,11679_8#1
SAMEA2204437,11657_7#3
SAMEA2204449,11679_7#2
SAMEA2204447,11679_4#4
SAMEA2204448,11657_6#13
SAMEA2204466,11679_4#7
SAMEA2204468,11679_7#4
SAMEA2204464,11657_7#13
SAMEA2204470,11657_7#15
SAMEA2204465,11679_8#2
SAMEA2204469,11657_7#14
SAMEA2204471,11658_3#7
SAMEA2204476,11657_7#16
SAMEA2204481,11679_8#4
SAMEA2204485,11658_3#10
SAMEA2204484,11657_5#16
SAMEA2204486,11679_8#5
SAMEA2204491,11657_7#17
SAMEA2204498,11679_8#6
SAMEA2204492,11679_6#7
SAMEA2204493,11657_6#19
SAMEA2204495,11679_6#9
SAMEA2204503,11679_6#11
SAMEA2204500,11679_4#10
SAMEA2204509,11791_6#10
SAMEA2204511,11657_5#19
SAMEA2204513,11658_6#35
SAMEA2204510,11679_4#11
SAMEA2204515,11658_3#13
SAMEA2204519,11679_4#12
SAMEA2204518,11658_7#27
SAMEA2204520,11657_5#20
SAMEA2204530,11791_7#23
SAMEA2204552,11658_6#45
SAMEA2204557,11658_5#49
SAMEA2204576,11791_7#35
SAMEA2204598,11658_6#56
SAMEA2204592,11658_7#33
SAMEA2204612,11658_4#24
SAMEA2204625,11657_6#24
SAMEA2204648,11679_5#14
